,0,1,2,3
0,-1.3086927,-0.5601041,0.36833522,4.888422
1,-1.1024578,-0.15444589,0.61981833,3.8476393
2,-1.2854832,0.027715325,0.61222696,3.7532685
3,-1.3470955,0.09509307,0.6368556,3.7413259
4,-1.2433945,-0.0020617545,0.6683408,3.8146212
5,-1.029145,-0.20952475,0.6938511,3.9345403
6,-0.7723639,-0.46480247,0.7168326,4.0719137
7,-0.580947,-0.6551839,0.72828114,4.181204
8,-0.8184969,-1.0259404,0.5286844,5.2527943
9,-0.7269971,-1.1239827,0.5577116,5.3369656
10,-0.77756166,-1.0797133,0.5284302,5.2910676
11,-0.96717626,-0.8976137,0.4722614,5.1527195
12,-1.1975344,-0.66989243,0.40462622,4.9768686
13,-1.466373,-0.40133762,0.430436,4.8745713
14,-1.2323468,-0.025170207,0.6144309,3.7806664
15,-1.3729248,0.11544812,0.6350006,3.7341251
16,-1.3379345,0.08653867,0.65835583,3.7668037
17,-1.1354933,-0.10917196,0.6833763,3.880634
18,-0.8879574,-0.3496232,0.7155473,4.0229044
19,-0.6775495,-0.55889666,0.7295544,4.136583
20,-0.86922854,-0.97805613,0.5156355,5.221191
21,-0.7648192,-1.0870526,0.5279717,5.296924
22,-0.7552317,-1.0991931,0.5191955,5.291019
23,-0.9077935,-0.9536898,0.47512355,5.1821527
24,-1.1564486,-0.71282876,0.41650584,5.0133624
25,-1.3661873,-0.50533855,0.3620567,4.8531165
26,-1.1656985,-0.08572894,0.63381934,3.8244798
27,-1.3125303,0.060841084,0.64534014,3.7589328
28,-1.312455,0.066259295,0.65140706,3.7580428
29,-1.1556176,-0.08378112,0.6850962,3.8587365
30,-0.8683818,-0.36402652,0.7083537,4.0110993
31,-0.55256003,-0.67806596,0.73378396,4.1789155
32,-0.30672795,-0.9225964,0.7492603,4.310859
33,-0.58130556,-1.260726,0.5895846,5.4109836
34,-0.5211893,-1.3326125,0.6253156,5.500871
35,-0.6421685,-1.2241766,0.57120985,5.40403
36,-0.8937308,-0.98071307,0.5001404,5.228767
37,-1.1501926,-0.7271428,0.42791334,5.0288644
38,-1.3793763,-0.5006456,0.36201397,4.848353
39,-1.1750998,-0.08734,0.62484336,3.8106823
40,-1.2582659,-0.0041442513,0.6372341,3.7833662
41,-1.152427,-0.10356772,0.66352797,3.8525755
42,-0.8791372,-0.3697922,0.6914871,4.0029364
43,-0.5869986,-0.66024524,0.72438973,4.174872
44,-0.2957594,-0.9496345,0.74728036,4.3350043
45,-0.07102708,-1.178462,0.7594108,4.4674525
46,0.034661315,-1.2887218,0.77357084,4.538441
47,-0.016997492,-1.2480118,0.7698607,4.5240397
48,-0.7486674,-1.13466,0.5486012,5.3519034
49,-1.038066,-0.84817725,0.4785171,5.1456103
50,-1.2945279,-0.594607,0.40628996,4.945708
51,-1.4972687,-0.38943368,0.32651457,4.7570095
52,-1.2342156,-0.033996493,0.6163275,3.7811298
53,-1.2249103,-0.042649,0.65494305,3.8176692
54,-1.0440513,-0.21708408,0.6737047,3.9153204
55,-0.718383,-0.53512746,0.7024837,4.097405
56,-0.43742764,-0.8140641,0.7354243,4.262749
57,-0.19749953,-1.0527184,0.7506559,4.391649
58,-0.5407847,-1.3244419,0.60173154,5.4823856
59,-0.5526393,-1.3235652,0.5891959,5.477993
60,-0.75961643,-1.1239128,0.5410962,5.346473
61,-1.0388354,-0.8478431,0.46087417,5.135052
62,-1.3183212,-0.5690406,0.38630578,4.9237494
63,-1.1712099,-0.10727778,0.6208827,3.836444
64,-1.3934547,0.119205564,0.6123648,3.715871
65,-1.3900182,0.1219061,0.639775,3.737331
66,-1.1838107,-0.07741207,0.67023176,3.858292
67,-0.8595975,-0.39967182,0.69951934,4.041027
68,-0.546258,-0.7057661,0.72736883,4.217442
69,-0.70788234,-1.1592047,0.55087316,5.359985
70,-0.51054376,-1.3566704,0.6061942,5.5133653
71,0.055569224,-1.3205357,0.75876886,4.5618873
72,-0.07284201,-1.2034354,0.7518752,4.507911
73,-0.41030705,-0.8729073,0.7388654,4.334622
74,-1.1304607,-0.76460654,0.47173116,5.1106772
75,-1.4066653,-0.4930181,0.4229301,4.936873
76,-1.6203552,-0.27709734,0.33564958,4.742745
77,-1.3112785,0.03241107,0.6256333,3.7745996
78,-1.2075775,-0.06474388,0.6571185,3.847895
79,-0.9106714,-0.35447308,0.68605715,4.0104327
80,-0.5767879,-0.68621665,0.72102576,4.203343
81,-0.28962743,-0.97188026,0.73821634,4.356596
82,-0.053115852,-1.2070024,0.75681543,4.494326
83,0.038551264,-1.3086596,0.76961017,4.5642033
84,-0.063756384,-1.217408,0.76730853,4.5342793
85,-0.82878804,-1.0764863,0.53332144,5.3406806
86,-1.1434313,-0.76515967,0.45163015,5.110994
87,-1.4182994,-0.48820868,0.36709228,4.8905096
88,-1.273243,-0.021520168,0.62131804,3.8233712
89,-1.4152145,0.12500158,0.61270404,3.7334585
90,-1.3625121,0.078463644,0.63679385,3.7752697
91,-1.09136,-0.18549246,0.6699444,3.929717
92,-0.7375513,-0.53171474,0.7065232,4.126783
93,-0.4111248,-0.85082483,0.7366862,4.3045425
94,-0.60141736,-1.2725596,0.5910666,5.458503
95,0.068829976,-1.3404944,0.70573455,4.5229564
96,0.030633146,-1.3168449,0.7651598,4.583876
97,-0.6744305,-1.226944,0.5717886,5.44647
98,-0.9809248,-0.9256406,0.5041201,5.246886
99,-1.2690448,-0.640421,0.43585995,5.035848
100,-1.5353618,-0.37254408,0.33055654,4.7990184
101,-1.3388115,0.04868695,0.6070835,3.757072
102,-1.3936608,0.10918364,0.6249418,3.7488317
103,-1.1979825,-0.07964575,0.65673274,3.8589597
104,-0.8715562,-0.39875588,0.6868958,4.036719
105,-0.53580934,-0.7272741,0.7139361,4.208691
106,-0.26259467,-0.9989168,0.7358283,4.359942
107,-0.08143259,-1.1843033,0.75134796,4.4752507
108,-0.03855125,-1.2321937,0.7576229,4.5086665
109,-0.7173196,-1.1762922,0.5571233,5.3960834
110,-1.0438464,-0.8586312,0.46887526,5.1611977
111,-1.3503726,-0.5500309,0.38830444,4.9295783
112,-1.2550359,-0.033988982,0.63695866,3.8262112
113,-1.5120914,0.22678252,0.6112403,3.6719859
114,-1.575332,0.2954994,0.6252412,3.6488264
115,-1.4259518,0.15809247,0.6541248,3.7343688
116,-1.0936215,-0.16689375,0.6845327,3.915172
117,-0.711921,-0.5411578,0.71170825,4.116243
118,-0.36195374,-0.88919073,0.7367839,4.3070683
119,-0.0732402,-1.1816115,0.7585353,4.472429
120,0.056923322,-1.316381,0.7666596,4.556253
121,0.01621362,-1.2864184,0.77045447,4.5472817
122,-0.76241416,-1.1315515,0.5499728,5.367643
123,-1.0856086,-0.8111505,0.48904702,5.154301
124,-1.3609018,-0.539542,0.38963857,4.9187455
125,-1.1992774,-0.08610341,0.56613415,3.7762034
126,-1.4057432,0.1264297,0.6217151,3.725892
127,-1.3267775,0.05318919,0.6257741,3.7604904
128,-1.0860047,-0.18038091,0.6647154,3.8990586
129,-0.7381,-0.5207272,0.70104945,4.093081
130,-0.4294611,-0.8276269,0.7244109,4.262597
131,-0.6440639,-1.2201049,0.5662357,5.3929324
132,-0.51551133,-1.3547432,0.6073597,5.5065856
133,-0.08776174,-1.1837697,0.7362324,4.4571347
134,-0.38268968,-0.8954552,0.72672516,4.321775
135,-0.73316616,-0.546493,0.71746856,4.146252
136,-1.0718346,-0.2092829,0.70870167,3.9768183
137,-1.8028781,-0.092537746,0.35135475,4.6590514
138,-1.5704467,0.29148206,0.6571242,3.6824768
139,-1.5596071,0.2909758,0.64330107,3.6602654
140,-1.3238792,0.06227672,0.67498225,3.7964475
141,-0.95184904,-0.3025035,0.69647676,3.9873435
142,-0.5781904,-0.6686229,0.7285989,4.189456
143,-0.23789348,-1.0071719,0.7479934,4.370107
144,0.008213038,-1.2571962,0.7662066,4.5189023
145,0.10792189,-1.366998,0.7740549,4.587737
146,-0.010819113,-1.2593815,0.7728425,4.5439353
147,-0.8130631,-1.0810101,0.5513813,5.35212
148,-1.0858755,-0.80841786,0.49470064,5.1544204
149,-1.376286,-0.5234038,0.4171392,4.9527526
150,-1.5809976,-0.31957695,0.32632276,4.7538466
151,-1.2763493,-0.008005559,0.6121965,3.7991576
152,-1.1257656,-0.15209419,0.636837,3.8808453
153,-0.8587294,-0.41236702,0.6557475,4.012201
154,-0.51424134,-0.74918103,0.6954489,4.215054
155,-0.2115064,-1.0502048,0.7185656,4.381526
156,0.02911576,-1.2946112,0.7453731,4.521874
157,0.1275458,-1.4031496,0.7513974,4.5954533
158,0.03960388,-1.3261776,0.75323325,4.5621285
159,-0.34260595,-0.95098406,0.74187666,4.3763604
160,-1.1053667,-0.8002867,0.4712045,5.1358504
161,-1.4307818,-0.48027414,0.40101293,4.910515
162,-1.5581272,-0.08046147,0.5617802,4.3920965
163,-1.445669,0.14996924,0.6124279,3.7184691
164,-1.3696249,0.08542046,0.6347604,3.755606
165,-1.0689524,-0.20791641,0.66913533,3.9252744
166,-0.72702724,-0.5478048,0.6991575,4.117142
167,-0.33942255,-0.92794484,0.726578,4.321257
168,-0.046867408,-1.2185552,0.7598325,4.4928575
169,0.14012337,-1.415236,0.76953,4.6121
170,0.15717542,-1.4427714,0.7739499,4.6383157
171,-0.060056515,-1.2381241,0.7299212,4.512815
172,-2.3875396,0.006881058,1.1440204,6.5962996
173,-1.0461094,-0.5620004,0.5118866,4.8235745
174,-1.3395686,-0.33640832,0.40582904,4.6626534
175,-1.1429217,0.041326255,0.65142846,3.6597486
176,-1.2214193,0.092559874,0.6407446,3.6392684
177,-1.0971259,-0.051992685,0.6638853,3.74858
178,-0.8276435,-0.33568695,0.6956024,3.921232
179,-0.551398,-0.6262626,0.7205492,4.097586
180,-0.28482273,-0.9073543,0.7398149,4.2637663
181,-0.1282112,-1.0736492,0.75530326,4.36713
182,-0.13920148,-1.0839794,0.7569926,4.391121
183,-0.8003649,-1.0438275,0.5382581,5.2565246
184,-1.1330383,-0.72209364,0.45993093,5.0337787
185,-1.4241407,-0.43968964,0.3731523,4.8171587
186,-1.3225503,0.070400506,0.6308552,3.732797
187,-1.5987618,0.34531677,0.6211696,3.5849738
188,-1.7235305,0.47513944,0.62910926,3.5194972
189,-1.5763633,0.33458287,0.65711725,3.6100156
190,-1.3030734,0.06835836,0.68507636,3.7603767
191,-0.939085,-0.28827727,0.71151733,3.9523149
192,-0.6030637,-0.62228924,0.7412946,4.1411386
193,-0.29946983,-0.92431766,0.7573959,4.308269
194,-0.5933127,-1.2380617,0.5924248,5.387154
195,-0.61192733,-1.2321434,0.605541,5.4102883
196,-0.8090743,-1.0428286,0.5384995,5.2576795
197,-1.1348636,-0.71820486,0.45499203,5.001317
198,-1.3840531,-0.47244525,0.36017546,4.7898135
199,-1.2484896,0.001665324,0.6277246,3.7222812
200,-1.3938775,0.15171912,0.62247807,3.6411994
201,-1.3896863,0.15345414,0.6427852,3.663401
202,-1.1974247,-0.031843215,0.6779436,3.7823598
203,-0.91018885,-0.3120887,0.7012011,3.9347231
204,-0.5888075,-0.62632746,0.72410405,4.110096
205,-0.34518844,-0.8740075,0.7387049,4.247016
206,-0.20690782,-1.0115037,0.7479495,4.3289084
207,-0.20166382,-1.0272868,0.7518796,4.3490353
208,-0.4222513,-0.8076001,0.7480104,4.2404857
209,-0.7563699,-0.4804209,0.7315976,4.07973
210,-1.0751884,-0.16310805,0.7183741,3.9153423
211,-1.3430083,0.103587925,0.7125458,3.7824385
212,-1.6229105,0.38753015,0.70349085,3.626595
213,-2.072373,0.22838138,0.3198755,4.4169827
214,-1.537456,0.31290227,0.69804263,3.6480448
215,-1.2121489,-0.0057980716,0.701759,3.7992837
216,-0.85192674,-0.35882604,0.72276366,3.9840915
217,-0.53738385,-0.67160195,0.74636996,4.156652
218,-0.7188658,-1.1023822,0.5659408,5.277178
219,-0.5967441,-1.229007,0.5790115,5.362044
220,-0.6559352,-1.1810818,0.56442887,5.3333817
221,-0.89871824,-0.9388,0.49315354,5.1355996
222,-1.1455851,-0.7001318,0.42054084,4.9467616
223,-1.4069909,-0.37870434,0.51085865,4.775229
224,-1.2037787,-0.027340561,0.61081,3.706228
225,-1.3732922,0.1471473,0.620403,3.6282725
226,-1.3678223,0.14761876,0.64253396,3.64573
227,-1.1927633,-0.020979553,0.6611387,3.740253
228,-0.87224114,-0.33421335,0.6910569,3.914968
229,-0.61083466,-0.5941039,0.71245927,4.0601306
230,-0.36841896,-0.83510226,0.73130333,4.200905
231,-0.2369769,-0.9711352,0.74125147,4.279984
232,-0.24260658,-0.97075266,0.7437434,4.2937913
233,-0.44179103,-0.7777204,0.7399782,4.202395
234,-0.7488014,-0.47215977,0.7272444,4.0440955
235,-1.0462167,-0.18150118,0.7141247,3.8968606
236,-1.3118236,0.088344425,0.709172,3.7589805
237,-1.518465,0.29401022,0.7006011,3.652433
238,-1.5730793,0.35907117,0.69990337,3.6120381
239,-1.4276161,0.21443559,0.7112168,3.69223
240,-1.1395212,-0.06681478,0.72745895,3.8452513
241,-1.2171776,-0.5931882,0.46663716,4.925716
242,-0.87950355,-0.933075,0.51155406,5.140822
243,-0.6571027,-1.1589239,0.553446,5.2873406
244,-0.52993613,-1.2904196,0.573777,5.374593
245,-0.56295377,-1.2685261,0.5638217,5.348618
246,-0.78243816,-1.0569701,0.49762443,5.179087
247,-1.0761125,-0.76595014,0.43792322,4.9809666
248,-1.279438,-0.5652655,0.36789986,4.8084617
249,-1.0810026,-0.14965943,0.61416394,3.7535372
250,-1.2163706,-0.009165049,0.62340236,3.6985915
251,-1.2205709,0.0007902086,0.63985217,3.7058742
252,-1.0299376,-0.18316805,0.66438293,3.8136163
253,-0.74114877,-0.47017086,0.69220126,3.9780862
254,-0.46793407,-0.7418135,0.71409345,4.129337
255,-0.24785596,-0.96057063,0.7337817,4.25319
256,-0.10588447,-1.1070924,0.7423957,4.343103
257,-0.10654444,-1.1169994,0.74608094,4.3601856
258,-0.29392081,-0.93571955,0.74280554,4.274877
259,-0.6006569,-0.63565284,0.7328086,4.133429
260,-0.88995516,-0.3477206,0.72080934,3.9842627
261,-1.1792533,-0.059788465,0.7088102,3.8350956
262,-1.3777778,0.14315088,0.70135975,3.7266157
263,-1.4485509,0.21908306,0.70448804,3.689195
264,-1.3185866,0.09522557,0.7159424,3.7552783
265,-1.0109916,-0.20584628,0.71892405,3.8973844
266,-0.7085312,-0.5013761,0.73930377,4.047005
267,-0.43480727,-0.77394825,0.745377,4.1829534
268,-0.2265371,-0.9809533,0.7645754,4.300718
269,-1.0231532,-0.4824927,1.1265708,5.139582
270,-0.15273295,-1.0758181,0.76450175,4.3632417
271,-0.36776614,-0.861932,0.7520735,4.241775
272,-0.66175973,-0.5692043,0.74161804,4.106183
273,-0.914355,-0.31779268,0.732912,3.9705374
274,-1.1458914,-0.08735877,0.7215378,3.8565571
275,-1.3031629,0.06902924,0.70973456,3.7702768
276,-1.338512,0.109704375,0.7143322,3.7511218
277,-1.1850067,-0.04307586,0.7206991,3.8302715
278,-0.89477414,-0.3265948,0.7317499,3.9792068
279,-0.6468042,-0.57339376,0.7420349,4.107064
280,-0.40473828,-0.8143166,0.7520751,4.231877
281,-0.25337088,-0.9648282,0.7636334,4.3151126
282,-0.21553431,-1.0078478,0.7626481,4.3461432
283,-0.8135489,-1.0273795,0.5522124,5.2481103
284,-1.0788221,-0.76533055,0.46728876,5.038691
285,-1.3315933,-0.5207862,0.39443097,4.846809
286,-1.1677303,-0.06816694,0.62381995,3.757306
287,-1.3811352,0.14438,0.6220195,3.6470559
288,-1.4881916,0.2565742,0.63069385,3.5907118
289,-1.4091506,0.18875192,0.64081985,3.6244204
290,-1.1333733,-0.07981679,0.6723913,3.7866566
291,-0.8244994,-0.3821521,0.6771969,3.9240186
292,-0.5952603,-0.60946375,0.7183854,4.0733495
293,-0.3709065,-0.8327581,0.7276909,4.1890297
294,-0.27616742,-0.9322706,0.7343459,4.2545886
295,-0.3121763,-0.9015023,0.7426287,4.2525163
296,-0.4821149,-0.7323571,0.737351,4.159489
297,-0.7319483,-0.4887834,0.7349943,4.0525694
298,-1.0271506,-0.19497505,0.7227502,3.9003584
299,-1.3024276,0.08435437,0.71211624,3.7523038
300,-1.5031652,0.28414404,0.7037903,3.6488006
301,-1.5363762,0.32255062,0.7031965,3.6255586
302,-1.394604,0.18694086,0.7151406,3.6977303
303,-1.0853803,-0.11547011,0.72875,3.8510535
304,-0.81721085,-0.38224164,0.743382,3.9999187
305,-0.575145,-0.6231645,0.75342214,4.1247315
306,-0.8398105,-0.9695413,0.54175603,5.1768956
